Company_Name,Website,Address,Revenue_in_Millions,Industry
Potter LLC,maldonado.biz,"610 3rd St., Santa Rosa, California, 95404",407.81,Technology
Jackson Ltd,steele-barnett.com,"15045 River Rd., Guerneville, California, 95446",480.74,Healthcare
Torres Ltd,banks-carroll.com,"912 Cole Street, #338, San Francisco, California, 94117",414.27,Hospitality
"Rich, Matthews and Jimenez",miller-burke.org,"1080 W. Old San Marcos Blvd., San Marcos, California, 92069",370.96,Manufacturing
"Spears, Ellis and Rice",foster.net,"901 Gilman St., Berkeley, California, 94710",460.03,Retail
Moore-George,hernandez-moss.info,"906 Washington St., Oakland, California, 94607",170.12,Energy
Campos Group,hansen-wade.com,"2920 Newport Blvd., Newport Beach, California, 92663",232.95,Transportation
Silva Inc,gross.com,"4353 La Jolla Village Dr, San Diego, California, 92122",72.34,Finance
Gates-Berg,davidson.com,"2911 Main St., Santa Monica, California, 90405",63.24,Hospitality
Diaz and Sons,roberts-suarez.com,"1000 Universal Center Dr., Universal City, California, 91608",189.7,Finance
Blake-Miller,kirby-bruce.biz,"6300 Folsom Blvd., Sacramento, California, 95819",72.81,Finance
Galvan PLC,mcmillan-romero.com,"21119 Superior St., Chatsworth, California, 91311",145.54,Manufacturing
"Collins, Coleman and Ortega",conner.net,"11197 Brockway Rd., Ste 1, Truckee, California, 96161",495.06,Retail
"Scott, Rodriguez and Martin",rios.info,"1777 Alamar Way, Fortuna, California, 95440",368.34,Education
Richardson Ltd,bates-lowery.info,"1250 Lincoln Ave., Calistoga, California, 94515",351.71,Transportation
Neal LLC,gonzalez.org,"219 E. Main St., Visalia, California, 93291",471.94,Technology
Johnson PLC,ruiz.com,"939 Broxton Ave., Westwood, California, 90024",434.97,Education
"Cooper, Chan and Banks",kaiser.com,"5500 Grossmont Center Dr., La Mesa, California, 91942",240.69,Manufacturing
Davis-Velasquez,gonzalez.org,"345 Healdsburg Ave., Healdsburg, California, 95448",156.57,Retail
"Wood, Howard and Griffin",lee-buck.org,"21480 Yorba Linda Blvd., Yorba Linda, California, 92686",243.4,Manufacturing
Smith PLC,howard-smith.com,"20 City Blvd. W. Bldg. A-2, Orange, California, 92868",50.33,Transportation
Novak LLC,chapman.com,"3770 Las Vegas Blvd. S, Las Vegas, Nevada, 89109",29.5,Finance
"Johnson, Jones and Shah",stone-murphy.biz,"604 Broadway St., Rock Springs, Wyoming, 82901",235.02,Healthcare
"Cook, Hogan and Cox",lee.org,"131 Summer St., Stamford, Connecticut, 6901",85.98,Manufacturing
Contreras Ltd,lopez-salazar.com,"12801 University Ave, Clive, Iowa, 50325",219.14,Technology
"Winters, Williams and Rose",phelps.com,"305 S. Market Ave., Springfield, Missouri, 65806",11.13,Construction
Rogers Group,cline-ortiz.com,"17070 Wright Plaza, Omaha, Nebraska, 68130",40.74,Transportation
Obrien-Parker,middleton.com,"10922 Elm St., Omaha, Nebraska, 68144",16.87,Construction
Bass-Randolph,young.com,"5429 Shaune Dr., Douglas , Alaska, 99801",14.14,Healthcare
"Johnson, Jones and Clark",nichols.com,"10426 E. Jomax Rd., Scottsdale, Arizona, 85255",152.05,Transportation
Jimenez-Rodgers,robinson-martin.info,"122 E. Washington, Phoenix, Arizona, 85004",403.44,Education
Ritter Inc,adkins-jimenez.com,"21 West Mountain, Fayetteville, Arkansas, 72701",390.42,Transportation
Taylor PLC,rodriguez-ballard.info,"226 Elk Ave., Crested Butte, Colorado, 81224",170.42,Hospitality
Martinez PLC,hawkins.org,"405 Main St., Grand Junction, Colorado, 81501",293.12,Transportation
Walker-Stephens,palmer.com,"2880 Wilderness Pl., Boulder, Colorado, 80301",175.48,Healthcare
"King, Chang and Edwards",taylor-kelly.com,"2547 Weston Rd., Colorado Springs, Colorado, 80910",91.02,Technology
"Moreno, Cherry and Peterson",santos.biz,"7345 S. Pierce St., Littleton, Colorado, 80123",492.22,Finance
"Mclaughlin, Hooper and Gonzalez",walls.biz,"375 E. 55th Ave., Denver, Colorado, 80216",311.71,Transportation
Frank Ltd,barnes.net,"14285 W Colfax Ave., Golden, Colorado, 80401",181.16,Construction
Phillips PLC,sanchez.info,"Keystone, Colorado",24.36,Technology
Hardy and Sons,walls-beck.com,"3000 Main Ave., Durango, Colorado, 81301",373.97,Healthcare
"Nielsen, Morrow and Atkins",burton-sutton.com,"625 3rd St. # D, Greeley, Colorado, 80631",91.11,Transportation
Collins PLC,nichols.com,"7229 E. County Rd.18, Loveland, Colorado, 80537",182.86,Healthcare
"Johnston, Ramos and James",schmidt-smith.com,"1125 Pearl St, Boulder, Colorado, 80302",173.45,Manufacturing
King-Wilson,miller-love.com,"219 Governors Square, Bear, Delaware, 19701",43.18,Healthcare
Maddox Ltd,kim-bradford.biz,"147 E. Main St., Newark, Delaware, 19711",419.7,Technology
Hughes LLC,wilson.com,"6607 Gateway Ave., Sarasota, Florida, 34231",485.41,Retail
"Santiago, Shaw and Floyd",gilbert.info,"2798 Pembroke Rd, Melbourne, Florida, 32935",287.88,Healthcare
King-Ruiz,hernandez.com,"111 SW 2nd Ave., Fort Lauderdale, Florida, 33301",242.68,Education
"Miller, Hoover and Erickson",davis.com,"1251 E. Fowler Ave., Tampa, Florida, 33612",192.19,Finance
Smith-Crawford,hall-sanchez.com,"  1201 Brickell Av, #250, Miami, Florida, 33131",311.89,Finance
Richardson Ltd,collins.com,"Miami, Florida, 33122",317.81,Finance
"Davidson, Ortiz and Malone",martinez-buckley.com,"5905 S. Kirkman Rd., Orlando, Florida, 32819",486.47,Transportation
"Ellis, Smith and Johnson",martin.com,"195 Ottley Dr., Atlanta , Georgia, 30324",282.33,Education
Dodson-Stokes,reese.info,"191 Jarrett Loop, Adairsville , Georgia, 30103",357.87,Finance
"Jones, Riddle and Stark",chavez.com,"1757 Rock Quarry Road, Stockbridge, Georgia, 30281",112.39,Retail
Allen LLC,steele.info,"275 E. Kawili St., Hilo, Hawaii, 96720",156.25,Energy
Duncan-Watson,mcconnell.biz,"591 4th St. East, Ketchum, Idaho, 83340",202.01,Manufacturing
"Doyle, Singleton and Carter",silva-gardner.org,"704 Arthur, Caldwell, Idaho, 83605",118.21,Energy
Klein-Huang,yoder.net,"3216 N Sheffield, Fl 2, Chicago, Illinois, 60657",485.09,Energy
Fox-Bradley,cabrera.biz,"1927 W North Ave., Chicago, Illinois, 60622",444.46,Technology
"Henry, Hughes and Davis",donaldson.biz,"45 S. Barrington Rd., South Barrington, Illinois, 60010",378.73,Retail
Fowler-Greer,schneider-gonzales.com,"3535 N Clark St, Chicago, Illinois, 60657",203.52,Energy
Adams LLC,evans-luna.com,"200 Village Green, Lincolnshire, Illinois, 60069",150.67,Education
Warren Ltd,harvey.com,"205 N. Broadway, Aurora, Illinois, 60505",44.38,Manufacturing
Palmer-Bush,miller.com,"322  Fourth St., Columbus, Indiana, 47201",173.6,Construction
Rogers PLC,villanueva-gentry.com,"1795 E. 10th, Bloomington, Indiana, 47407",106.61,Retail
"Boyd, Alexander and Walker",porter-nguyen.com,"311 N. Burch, Olathe, Kansas, 66061",32.34,Transportation
"Bowen, Williams and Howard",perry-reese.info,"417 SW 37th, Topeka, Kansas, 66611",36.97,Hospitality
Preston Group,cruz-lawson.org,"200 E 3rd St, Newport, Kentucky, 41071",416.03,Energy
Allen-Waters,gutierrez.org,"1106 Bushville Hwy, Arnaudville, Louisiana, 70512",207.34,Finance
Duarte-Patterson,blair-gates.biz,"43 Mechanic St., Camden, Maine, 4843",365.59,Manufacturing
"Welch, Massey and Weaver",hardy-stout.com,"8 Western Ave. #6, Kennebunk, Maine, 4043",233.42,Hospitality
Clark Inc,powell.net,"15 Knox Rd, Bar Harbor, Maine, 4609",19.17,Healthcare
Hobbs-Adams,ashley-evans.info,"4 West Main St, Westminster, Maryland, 21157",489.65,Energy
"West, Fields and Henry",morales.com,"233 S. Main, Frederick, Maryland, 21771",197.29,Construction
Fernandez-Martin,gonzalez.org,"115 Stuart St., Boston, Massachusetts, 2116",145.03,Retail
"Sawyer, Powers and Parrish",smith-barrett.com,"227 High Rd., Newbury, Massachusetts, 1951",134.63,Energy
"Bates, Noble and Rivera",hernandez-lopez.com,"152 Commonwealth Ave., Concord, Massachusetts, 1742",201.12,Education
"Schmidt, Robinson and Bennett",stewart.com,"98 Horseneck Rd., Westport, Massachusetts, 2790",382.3,Hospitality
Patterson-Freeman,carter.com,"105 East State St., Hastings, Michigan, 49058",69.53,Manufacturing
Hammond Inc,james.com,"121 North Bridge Street, Bellaire, Michigan, 49615",106.51,Manufacturing
"Burke, Gordon and Perez",davis.biz,"10983 Hills Rd., Baroda, Michigan, 49101",24.97,Finance
Smith-Gillespie,brady.org,"523 S Main St, Ann Arbor, Michigan, 48104",429.89,Retail
King and Sons,rodgers-king.org,"120 W. Washington St., Ann Arbor, Michigan, 48104",230.62,Retail
Wiley Group,perry.com,"21200 Harper Ave., Saint Clair Shores, Michigan, 48080",493.16,Technology
May-White,dorsey.com,"550 S. Wisconsin St., Gaylord, Michigan, 49734",301.83,Retail
Brown PLC,wise-harvey.info,"103 W. Michigan Ave., Battle Creek, Michigan, 49017",256.47,Manufacturing
"Moore, Johnson and Sanchez",williams.com,"3308 3rd St. N, St. Cloud, Minnesota, 56303",-174.88,Hospitality
Fisher-Stevenson,bell-sims.info,"426 Saint Peter St, St. Paul, Minnesota, 55102",-314.14,Education
Morse Group,mckay.net,"105 Blacktail Rd. # 2, Lakeside, Montana, 59922",144.71,Finance
"Coleman, Garcia and Davies",nash-robinson.com,"326 Main St./ P.O. Box 654, Wolf Point, Montana, 59201",358.16,Retail
Gonzalez-Brown,williams.com,"56 Market Street, Portsmouth, New Hampshire, 3801",490.32,Construction
Medina-Davis,taylor-johnson.com,"155 Rte. 11, Crockett's Corner, New London, New Hampshire, 3257",444.79,Finance
Nelson and Sons,smith.net,"150 S. Rte. 206, Hillsborough, New Jersey, 8876",300.24,Technology
"Cook, Clayton and Suarez",moody.info,"146 Bodman Pl., Redbank, New Jersey, 7701",406.43,Hospitality
"Chaney, Vance and Bernard",warren-horne.com,"905 36th Place, Rio Rancho, New Mexico, 87124",411.18,Healthcare
Williams LLC,thompson-joseph.com,"106 Des Georges Lane, Taos, New Mexico, 87571",454.94,Finance
Young-Robinson,osborne.biz,"P.O. Box 154, Embudo, New Mexico, 87531",230.58,Finance
Nunez and Sons,rollins.org,"1814 2nd St., Santa Fe, New Mexico, 87504",120.33,Healthcare
